"VESSEL_NUM","group"
"CF1978VH",3
"CF1983KF",2
"CF1986ZM",3
"CF2009TK",3
"CF2012TK",2
"CF2017ER",3
"CF2018KT",3
"CF2036TJ",3
"CF2117EG",3
"CF2159VH",3
"CF2171PA",2
"CF2212HN",3
"CF2297UN",3
"CF2314GM",3
"CF2334UF",3
"CF2353UN",3
"CF2362JT",3
"CF2372NN",3
"CF2379BL",3
"CF2433SN",3
"CF2476VR",3
"CF2484VE",3
"CF2485HP",2
"CF2491JN",3
"CF2499EK",3
"CF2649SS",3
"CF2693UH",3
"CF2742ST",3
"CF2766GX",2
"CF2776KR",3
"CF2803JV",3
"CF2804KR",3
"CF2811ST",3
"CF2821HM",2
"CF2854EU",3
"CF2880EV",3
"CF2992SN",3
"CF3001GC",3
"CF3029ST",3
"CF3035TP",3
"CF3041FH",3
"CF3101KK",2
"CF3105KK",3
"CF3109UC",3
"CF3234SM",3
"CF3248SV",3
"CF3264SX",3
"CF3295TF",3
"CF3313TM",3
"CF3314TZ",3
"CF3501HL",3
"CF3528KL",3
"CF3530HH",3
"CF3569KG",3
"CF3571SU",3
"CF3582TT",3
"CF3650NR",3
"CF3705PN",3
"CF3776RE",3
"CF3819EM",3
"CF3836SA",3
"CF3879EH",3
"CF3908SX",3
"CF3910KC",3
"CF3964KP",2
"CF4038TF",3
"CF4042GY",3
"CF4058HB",3
"CF4419NB",3
"CF4419NR",3
"CF4422UH",3
"CF4515GK",3
"CF4598GZ",2
"CF4618GW",3
"CF4683GV",3
"CF4702JD",3
"CF4936KF",3
"CF4941ET",3
"CF4950HL",3
"CF4951UM",3
"CF5005PM",3
"CF5020UM",3
"CF5050HN",3
"CF5060CF",3
"CF5095TS",3
"CF5221NJ",3
"CF5257TA",3
"CF5268HP",3
"CF5275PG",3
"CF5275TB",3
"CF5320HX",3
"CF5334SF",3
"CF5365FM",3
"CF5467CK",3
"CF5533SC",3
"CF5576FA",3
"CF5673WS",3
"CF5713GE",3
"CF5805GJ",2
"CF5822RJ",3
"CF5838EX",3
"CF5871UY",3
"CF5911SP",3
"CF5935UZ",3
"CF6019GZ",3
"CF6021EL",3
"CF6104GN",3
"CF6110SJ",3
"CF6118NU",3
"CF6134JE",3
"CF6160NU",3
"CF6202RB",3
"CF6286SS",3
"CF6317SK",3
"CF6337RZ",3
"CF6497PY",2
"CF6606GH",3
"CF6655BA",3
"CF6669KC",3
"CF6690SK",3
"CF6702TX",3
"CF6730SL",3
"CF6730TX",3
"CF6768TX",3
"CF6776KH",3
"CF6900TX",3
"CF6902TX",3
"CF6909CB",3
"CF7006HK",3
"CF7080RJ",3
"CF7093TB",3
"CF7097PG",3
"CF7103RG",3
"CF7121NC",3
"CF7218UH",3
"CF7240CS",5
"CF7321UH",3
"CF7329UH",5
"CF7336UH",3
"CF7386GT",2
"CF7389UH",3
"CF7422UH",3
"CF7507EG",3
"CF7729NN",2
"CF7762HJ",3
"CF7864KF",3
"CF7905KU",3
"CF7974GW",3
"CF8039SW",3
"CF8093JP",2
"CF8147EA",3
"CF8155GK",3
"CF8224FM",3
"CF8323SK",3
"CF8370FH",3
"CF8480HE",3
"CF8496EL",3
"CF8507SZ",3
"CF8530UV",3
"CF8636JK",3
"CF8721HX",3
"CF8745LE",2
"CF8749JM",3
"CF8757TF",3
"CF8815BB",3
"CF8846GT",3
"CF8886GM",3
"CF8938HY",3
"CF8949KX",3
"CF8962EL",3
"CF9025LE",3
"CF9116HY",3
"CF9153HT",3
"CF9276KB",3
"CF9280TE",3
"CF9322KA",5
"CF9462GC",3
"CF9487KB",3
"CF9521HT",3
"CF9554HM",3
"CF9556RL",3
"CF9713TK",3
"CF9808FB",3
"CF9820KG",3
"CF9821GT",3
"CF9841JB",3
"CF9847TE",3
"CF9854KB",2
"CF9906KB",3
"OR018ADR",3
"OR072ACX",4
"OR108ADL",1
"OR108ADR",5
"OR155ABZ",2
"OR18ADR",1
"OR588ADB",4
"OR661ZK",2
"OR761ABL",5
"OR868ADK",4
"OR873ABY",5
"WN0416RK",1
"WN1924RR",5
"WN3258NU",5
"WN3306SF",3
"WN4232NW",5
"WN5102SK",5
"WN5187NP",5
"WN5447NK",3
"WN6035RP",4
"WN7102LH",4
"WN7717NJ",3
"WN7995RP",2
"WN8521SB",4
"WN9415RJ",1
"WN9664RJ",4
"WN9665RJ",4
"1000086",4
